Part,Count (needed),Count (purchased),Price,Shipping Cost,Link,,
Raspberry Pi Pico,1,0,$0.00,$0.00,https://www.amazon.com/Raspberry-RP2040-microcontroller-Dual-core-Processor-1pc/dp/B0BK9CTMSV,,
SSD1306 128x32 OLED,1,1,$2.32,$0.00,https://www.aliexpress.us/item/3256805123611667.html,,
Cherry MX key switches,104,108,$32.99,$0.00,https://www.amazon.com/Zjmehty-Switches-Mechanical-Pre-Lubed-Pin-Enhanced/dp/B0CF8DWDGF,,
PBT Keycaps,104,139,$13.99,$0.00,https://www.amazon.com/Doubleshot-Mechanical-Keyboard-Compatiability-Keyboads/dp/B0F7H32LKC,,
PCB Mount Stabilizers Kit,1,1,$9.99,$0.00,https://www.amazon.com/GLORIOUS-Stabilizer-Mechanical-Keyboards-Compatible/dp/B09MZKFLXP,,
1x4 2.54mm vertical female pin header,1,1,$0.25,$4.99,https://www.digikey.com/en/products/detail/adam-tech/RS1-04-G/9829303,,
1x4 2.54mm vertical male pin header,1,1,$0.20,$0.00,https://www.digikey.com/en/products/detail/metz-connect-usa-inc/PR20204VBNN/12342903,,
MCP23008 IO expander,1,1,$1.54,$0.00,https://www.digikey.com/en/products/detail/microchip-technology/MCP23008-E-P/735951,,
1N4148 diodes,104,110,$3.72,$0.00,https://www.digikey.com/en/products/detail/onsemi/1N4148-T50A/978509,,
PCB Fabrication from JLCPCB ,1,5,$25.80,$52.08,https://jlcpcb.com/,,
,,,,,,,
,,,,,,Subtotal,$90.80
,,,,,,Shipping Cost,$57.07
,,,,,,Sales Tax,$9.31
,,,,,,Total,$157.18
